datetime,KQ.m@SHFE.rb.last_price,KQ.m@SHFE.rb.highest,KQ.m@SHFE.rb.lowest,KQ.m@SHFE.rb.bid_price1,KQ.m@SHFE.rb.bid_volume1,KQ.m@SHFE.rb.ask_price1,KQ.m@SHFE.rb.ask_volume1,KQ.m@SHFE.rb.volume,KQ.m@SHFE.rb.amount,KQ.m@SHFE.rb.open_interest
2020-03-17 09:00:00.838000000,3550.0,3550.0,3548.0,3549.0,1,3550.0,435,5666,201030600.0,1259663
2020-03-17 09:00:01.034000000,3552.0,3553.0,3548.0,3552.0,59,3553.0,162,7721,273975110.0,1261002
2020-03-17 09:00:01.534000000,3553.0,3555.0,3548.0,3553.0,552,3554.0,23,8610,305564270.0,1261529
2020-03-17 09:00:02.034000000,3555.0,3556.0,3548.0,3554.0,361,3556.0,21,9897,351306310.0,1262305
2020-03-17 09:00:02.534000000,3556.0,3557.0,3548.0,3556.0,165,3557.0,54,10481,372067510.0,1262443
2020-03-17 09:00:03.034000000,3556.0,3558.0,3548.0,3556.0,9,3557.0,91,11519,408974680.0,1262505
2020-03-17 09:00:03.534000000,3556.0,3558.0,3548.0,3554.0,99,3556.0,972,12072,428634910.0,1262549
2020-03-17 09:00:04.032000000,3554.0,3558.0,3548.0,3553.0,653,3554.0,58,12405,440470340.0,1262682
2020-03-17 09:00:04.535000000,3554.0,3558.0,3548.0,3553.0,29,3554.0,2,13194,468505430.0,1262770
2020-03-17 09:00:05.032000000,3553.0,3558.0,3548.0,3553.0,45,3554.0,14,13786,489546230.0,1262634
2020-03-17 09:00:05.532000000,3555.0,3558.0,3548.0,3554.0,90,3555.0,31,14213,504724760.0,1262697
2020-03-17 09:00:06.032000000,3554.0,3558.0,3548.0,3554.0,171,3556.0,46,14525,515816550.0,1262876
2020-03-17 09:00:06.532000000,3554.0,3558.0,3548.0,3554.0,38,3555.0,39,14826,526514330.0,1262948
2020-03-17 09:00:07.033000000,3553.0,3558.0,3548.0,3553.0,349,3554.0,187,15007,532946750.0,1262943
2020-03-17 09:00:07.534000000,3553.0,3558.0,3548.0,3552.0,112,3553.0,40,15519,551138670.0,1262868
