datetime,KQ.m@SHFE.rb.last_price,KQ.m@SHFE.rb.highest,KQ.m@SHFE.rb.lowest,KQ.m@SHFE.rb.bid_price1,KQ.m@SHFE.rb.bid_volume1,KQ.m@SHFE.rb.ask_price1,KQ.m@SHFE.rb.ask_volume1,KQ.m@SHFE.rb.volume,KQ.m@SHFE.rb.amount,KQ.m@SHFE.rb.open_interest
2020-03-13 09:00:00.575002000,3497.0,3497.0,3494.0,3495.0,65,3497.0,47,6182,216003690.0,1393783
2020-03-13 09:00:01.075000000,3494.0,3498.0,3493.0,3494.0,482,3495.0,9,9639,336853220.0,1393383
2020-03-13 09:00:01.575000000,3496.0,3498.0,3493.0,3496.0,9,3497.0,182,12418,433974740.0,1392935
2020-03-13 09:00:02.075000000,3496.0,3498.0,3492.0,3495.0,455,3496.0,644,14511,507116350.0,1392929
2020-03-13 09:00:02.574000000,3494.0,3498.0,3492.0,3492.0,140,3494.0,9,16777,586299990.0,1393198
2020-03-13 09:00:03.075000000,3494.0,3498.0,3492.0,3492.0,240,3494.0,482,17655,616972200.0,1393441
2020-03-13 09:00:03.575000000,3494.0,3498.0,3492.0,3492.0,93,3494.0,555,18317,640097780.0,1393024
2020-03-13 09:00:04.075000000,3495.0,3498.0,3491.0,3494.0,35,3495.0,926,19354,676324240.0,1392567
2020-03-13 09:00:04.575000000,3492.0,3498.0,3491.0,3492.0,32,3493.0,65,19973,697946830.0,1392544
2020-03-13 09:00:05.075000000,3492.0,3498.0,3491.0,3491.0,492,3492.0,343,21112,737726850.0,1391916
2020-03-13 09:00:05.574000000,3492.0,3498.0,3491.0,3492.0,5,3493.0,18,22511,786590760.0,1391037
2020-03-13 09:00:06.072000000,3493.0,3498.0,3491.0,3493.0,554,3494.0,1,23268,813034620.0,1391083
2020-03-13 09:00:06.575000000,3494.0,3498.0,3491.0,3494.0,784,3495.0,1,24569,858501440.0,1391564
2020-03-13 09:00:07.075000000,3495.0,3498.0,3491.0,3495.0,451,3496.0,336,25033,874720510.0,1391748
2020-03-13 09:00:07.574000000,3496.0,3498.0,3491.0,3495.0,7,3496.0,21,26202,915578730.0,1392115
2020-03-13 09:00:08.075000000,3496.0,3498.0,3491.0,3494.0,98,3495.0,2,27023,944268990.0,1391923
2020-03-13 09:00:08.574000000,3493.0,3498.0,3491.0,3494.0,10,3495.0,41,27804,971556730.0,1392111
2020-03-13 09:00:09.074000000,3497.0,3498.0,3491.0,3496.0,43,3497.0,124,28281,988229890.0,1392168
2020-03-13 09:00:09.574000000,3494.0,3498.0,3491.0,3493.0,777,3494.0,6,28843,1007871970.0,1392112
2020-03-13 09:00:10.075000000,3495.0,3498.0,3491.0,3495.0,2,3496.0,167,29727,1038759070.0,1392372
2020-03-13 09:00:10.574000000,3496.0,3498.0,3491.0,3495.0,68,3496.0,269,30450,1064027910.0,1392109
2020-03-13 09:00:11.074000000,3496.0,3498.0,3491.0,3495.0,10,3496.0,158,30921,1080490340.0,1392053
2020-03-13 09:00:11.575000000,3495.0,3498.0,3491.0,3494.0,266,3495.0,122,31506,1100940550.0,1392000
2020-03-13 09:00:12.075000000,3497.0,3498.0,3491.0,3496.0,65,3497.0,509,31804,1111357430.0,1392074
2020-03-13 09:00:12.571000000,3496.0,3498.0,3491.0,3496.0,468,3497.0,254,32479,1134958040.0,1391930
2020-03-13 09:00:13.075000000,3496.0,3498.0,3491.0,3496.0,37,3497.0,62,33319,1164327500.0,1391554
2020-03-13 09:00:13.575000000,3496.0,3498.0,3491.0,3496.0,24,3497.0,227,33776,1180304470.0,1391501
2020-03-13 09:00:14.075000000,3497.0,3498.0,3491.0,3496.0,10,3497.0,218,34014,1188625040.0,1391490
2020-03-13 09:00:14.575000000,3496.0,3498.0,3491.0,3495.0,812,3496.0,215,34534,1206807580.0,1391604
2020-03-13 09:00:15.072000000,3497.0,3498.0,3491.0,3496.0,103,3497.0,9,34933,1220757430.0,1391704
2020-03-13 09:00:15.575000000,3497.0,3498.0,3491.0,3497.0,55,3498.0,627,35407,1237331760.0,1391772
2020-03-13 09:00:16.075000000,3497.0,3498.0,3491.0,3497.0,7,3498.0,680,36046,1259669760.0,1391734
2020-03-13 09:00:16.575000000,3497.0,3498.0,3491.0,3496.0,59,3497.0,450,36683,1281943690.0,1391376
2020-03-13 09:00:17.074000000,3496.0,3498.0,3491.0,3495.0,493,3496.0,33,37309,1303833000.0,1391367
2020-03-13 09:00:17.575000000,3498.0,3498.0,3491.0,3497.0,1,3498.0,367,37985,1327476070.0,1391560
2020-03-13 09:00:18.071000000,3497.0,3498.0,3491.0,3496.0,22,3497.0,3,38288,1338070200.0,1391536
2020-03-13 09:00:18.569000000,3497.0,3498.0,3491.0,3496.0,617,3497.0,51,38383,1341392220.0,1391530
2020-03-13 09:00:19.075000000,3497.0,3498.0,3491.0,3496.0,681,3497.0,323,39017,1363567520.0,1391648
2020-03-13 09:00:19.575000000,3497.0,3498.0,3491.0,3497.0,1963,3498.0,263,39617,1384549940.0,1391734
2020-03-13 09:00:20.070000000,3498.0,3499.0,3491.0,3498.0,178,3499.0,1279,40222,1405712890.0,1391608
2020-03-13 09:00:20.573000000,3498.0,3499.0,3491.0,3498.0,1,3499.0,1072,40750,1424185110.0,1391729
2020-03-13 09:00:21.075000000,3498.0,3499.0,3491.0,3498.0,270,3499.0,935,41107,1436674580.0,1391740
2020-03-13 09:00:21.575000000,3498.0,3499.0,3491.0,3497.0,2138,3498.0,9,41892,1464136330.0,1391875
2020-03-13 09:00:22.075000000,3498.0,3499.0,3491.0,3498.0,162,3499.0,479,42664,1491141430.0,1391614
2020-03-13 09:00:22.575000000,3498.0,3499.0,3491.0,3498.0,29,3499.0,75,43335,1514617360.0,1391357
2020-03-13 09:00:23.072000000,3499.0,3500.0,3491.0,3499.0,423,3500.0,4232,44050,1539627350.0,1391475
2020-03-13 09:00:23.573000000,3498.0,3500.0,3491.0,3497.0,1957,3498.0,82,44778,1565099300.0,1390970
